price,geo_risk_score,location_rating,grade_of_the_house,number_of_bedrooms,number_of_bathrooms,living_area,investment_score,investment_recommendation
838000,0.2927113702623906,Low Risk,9,4,2.5,3310,51.55872219017477,Moderate Investment
805000,0.0084548104956268,Low Risk,8,3,2.0,2710,34.58418172463791,Low Investment
790000,0.0037900874635568,Low Risk,9,3,2.5,2600,37.103475156296284,Moderate Investment
785000,0.5854227405247812,Medium Risk,10,5,3.25,3660,68.20300587767574,High Investment Potential
750000,0.2941690962099125,Low Risk,8,3,1.75,2240,44.75606866123073,Moderate Investment
750000,0.2935860058309038,Low Risk,8,3,2.5,2390,45.13381456478695,Moderate Investment
698000,0.1536443148688046,Low Risk,7,4,2.25,2200,37.02812553592865,Moderate Investment
675000,0.1542274052478133,Low Risk,8,5,2.5,2820,42.70920316178419,Moderate Investment
650000,0.2947521865889212,Low Risk,7,4,2.0,1820,41.65639762398465,Moderate Investment
640000,0.2915451895043731,Low Risk,7,4,2.0,1520,40.725978703169574,Moderate Investment
630000,0.0017492711370262,Low Risk,9,4,2.75,2710,38.31596015029388,Moderate Investment
626000,0.3,Low Risk,9,3,2.25,1750,46.67914438502674,Moderate Investment
625000,0.2988338192419825,Low Risk,9,4,2.5,2820,50.493459721550956,Moderate Investment
625000,0.0029154518950437,Low Risk,9,4,3.25,2730,38.41608331644346,Moderate Investment
615000,0.1472303206997084,Low Risk,8,3,1.75,2360,39.19937325579583,Moderate Investment
612500,0.1486880466472303,Low Risk,9,4,2.5,2730,44.24698710653092,Moderate Investment
604000,0.2941690962099125,Low Risk,10,3,2.5,3240,53.429865452674576,Moderate Investment
588500,0.0058309037900874,Low Risk,8,3,1.75,2330,33.46318267566767,Low Investment
555000,0.1457725947521865,Low Risk,8,4,2.5,3310,42.68117116976661,Moderate Investment
550000,0.0064139941690962,Low Risk,7,4,2.5,1940,30.443725542164916,Low Investment
550000,0.3002915451895043,Low Risk,8,3,1.75,2910,46.79241047068177,Moderate Investment
499950,0.2935860058309038,Low Risk,8,4,2.5,2860,47.39049905676556,Moderate Investment
495000,0.3002915451895043,Low Risk,8,4,1.75,1600,44.28973667389033,Moderate Investment
491500,0.5877551020408162,Medium Risk,9,4,1.75,2190,60.365819054894686,High Investment Potential
