iter	RMSE
0	178806.6945
1	157003.2986
2	141010.6808
3	128602.2619
4	118584.7537
5	111754.3197
6	105900.0821
7	101455.458
8	97120.13284
9	94497.76366
10	92284.36557
11	90164.89324
12	88723.65611
13	87663.53096
14	86714.05068
15	85165.93978
16	84105.76767
17	83427.59555
18	82868.01963
19	81599.54339
20	81027.52689
21	80538.47838
22	80071.08857
23	79359.04685
24	79108.06404
25	78555.94576
26	78162.30303
27	77558.66339
28	77267.55987
29	76414.03397
30	76048.92627
31	75268.8566
32	74988.28401
33	74700.13898
34	74400.96008
35	74231.15643
36	74033.9487
37	73679.84574
38	73281.7107
39	72955.46591
40	72828.35008
41	72296.4486
42	72067.34874
43	71894.24584
44	71643.95561
45	71463.61637
46	71335.3352
47	70812.95949
48	70612.14688
49	70443.62321
50	70266.63522
51	70013.8483
52	69678.2138
53	69488.65601
54	69292.67739
55	69114.70887
56	68887.65486
57	68731.22052
58	68472.99003
59	68230.06703
60	68100.83695
61	67929.44614
62	67770.42149
63	67693.79514
64	67597.7936
65	67325.43186
66	67188.85762
67	66999.79025
68	66852.27004
69	66768.31066
70	66455.05293
71	66217.97946
72	66070.21656
73	65868.7321
74	65819.52255
75	65608.06556
76	65435.03432
77	65300.11127
78	65132.08406
79	64924.50482
80	64767.35621
81	64645.47567
82	64527.83967
83	64456.51457
84	64339.4814
85	64097.1863
86	63936.47116
87	63774.38715
88	63512.79543
89	63395.77673
90	63219.85889
91	63056.76142
92	62829.03004
93	62681.19691
94	62592.08594
95	62479.57257
96	62377.56039
97	62315.87062
98	62228.47577
99	62110.97096
100	61983.47386
101	61762.58744
102	61664.46376
103	61592.94695
104	61470.37034
105	61352.43331
106	61257.5359
107	61199.96045
108	61102.25188
109	61003.80821
110	60935.50504
111	60838.88627
112	60741.81569
113	60675.14615
114	60529.38195
115	60423.25137
116	60333.45783
117	60203.20197
118	60052.10652
119	59956.98271
120	59907.97516
121	59813.91282
122	59746.58554
123	59691.73499
124	59624.40746
125	59537.18179
126	59441.65271
127	59377.29402
128	59275.13674
129	59145.72569
130	59037.84687
131	58940.99349
132	58867.47114
133	58767.86019
134	58706.08231
135	58627.79332
136	58514.81647
137	58413.84359
138	58314.31711
139	58236.08206
140	58174.61889
141	58092.64083
142	58011.7743
143	57974.74624
144	57923.87186
145	57839.67191
146	57760.54386
147	57682.68333
148	57598.42535
149	57485.43588
150	57401.77002
151	57340.016
152	57273.14794
153	57162.73458
154	57122.37634
155	57054.63439
156	57001.47897
157	56916.85184
158	56848.3431
159	56760.55378
160	56674.26543
161	56631.04495
162	56535.65597
163	56437.78281
164	56341.93631
165	56248.12519
166	56201.23377
167	56117.35901
168	56097.83447
169	56029.60485
170	55970.05471
171	55907.90474
172	55763.53371
173	55644.89231
174	55626.83667
175	55556.0257
176	55461.49822
177	55336.01738
178	55259.45903
179	55196.18933
180	55074.76595
181	54963.99021
182	54878.24373
183	54787.2295
184	54709.28923
185	54616.71966
186	54539.63998
187	54470.17312
188	54395.42136
189	54297.67472
190	54246.73372
191	54227.94804
192	54127.50174
193	54081.95849
194	54022.71115
195	53980.57781
196	53886.39731
197	53790.13943
198	53705.9617
199	53657.02581
