iter	Passed	Remaining
0	184	36673
1	202	20040
2	212	13953
3	220	10815
4	226	8840
5	231	7479
6	236	6510
7	240	5763
8	243	5176
9	248	4719
10	252	4341
11	256	4016
12	260	3741
13	264	3518
14	269	3322
15	273	3144
16	277	2986
17	281	2850
18	285	2722
19	289	2606
20	293	2500
21	298	2416
22	303	2332
23	307	2253
24	312	2187
25	317	2122
26	321	2057
27	325	1998
28	330	1946
29	334	1896
30	339	1848
31	343	1804
32	347	1760
33	351	1716
34	355	1675
35	361	1646
36	365	1610
37	369	1575
38	376	1552
39	381	1525
40	385	1495
41	390	1467
42	394	1439
43	398	1411
44	402	1385
45	407	1363
46	411	1338
47	414	1313
48	418	1290
49	423	1271
50	427	1249
51	431	1227
52	435	1207
53	440	1191
54	444	1171
55	447	1151
56	452	1134
57	457	1118
58	460	1101
59	464	1084
60	470	1072
61	475	1057
62	478	1041
63	482	1026
64	487	1012
65	492	999
66	495	983
67	499	970
68	504	957
69	507	943
70	511	930
71	517	919
72	521	907
73	525	895
74	529	882
75	534	872
76	538	859
77	541	847
78	545	836
79	553	830
80	557	819
81	561	808
82	567	800
83	571	789
84	575	778
85	580	769
86	585	760
87	589	750
88	593	740
89	598	731
90	602	722
91	606	712
92	610	702
93	615	694
94	619	684
95	622	674
96	626	665
97	631	657
98	635	648
99	638	638
100	643	630
101	648	623
102	652	614
103	656	605
104	662	599
105	666	590
106	670	582
107	673	574
108	679	566
109	683	559
110	687	551
111	691	543
112	696	536
113	700	528
114	703	520
115	709	513
116	713	505
117	716	498
118	720	490
119	726	484
120	730	476
121	733	469
122	737	461
123	743	455
124	746	448
125	750	440
126	754	433
127	759	427
128	763	420
129	767	413
130	774	407
131	778	401
132	782	394
133	786	387
134	791	381
135	795	374
136	799	367
137	803	360
138	807	354
139	812	348
140	816	341
141	821	335
142	825	329
143	829	322
144	833	316
145	838	310
146	842	303
147	846	297
148	850	290
149	855	285
150	859	278
151	862	272
152	867	266
153	872	260
154	875	254
155	879	248
156	884	242
157	888	236
158	892	230
159	896	224
160	901	218
161	905	212
162	909	206
163	913	200
164	918	194
165	922	189
166	926	183
167	930	177
168	935	171
169	939	165
170	943	159
171	948	154
172	952	148
173	956	142
174	959	137
175	966	131
176	970	126
177	974	120
178	978	114
179	983	109
180	987	103
181	991	98
182	996	92
183	1000	87
184	1004	81
185	1008	75
186	1013	70
187	1017	64
188	1021	59
189	1025	53
190	1030	48
191	1034	43
192	1038	37
193	1042	32
194	1047	26
195	1050	21
196	1054	16
197	1059	10
198	1064	5
199	1068	0
